date,T2M,T2M_MAX,T2M_MIN,month,dow,is_holiday,is_holiday_window,is_weekend
2025-04-19,22.45,25.63,19.95,4,5,False,True,True
2025-04-20,22.94,27.4,20.18,4,6,True,True,True
2025-04-21,21.97,25.17,19.2,4,0,False,True,False
2025-04-22,21.15,24.56,19.0,4,1,False,False,False
2025-04-23,22.45,26.26,20.53,4,2,False,False,False
2025-04-24,21.48,23.98,19.53,4,3,False,False,False
2025-04-25,22.91,27.61,19.74,4,4,False,False,False
2025-04-26,22.86,27.05,19.47,4,5,False,False,True
2025-04-27,22.59,26.98,18.47,4,6,False,False,True
2025-04-28,21.28,26.25,16.94,4,0,False,False,False
2025-04-29,20.81,25.39,17.55,4,1,False,False,False
2025-04-30,21.72,25.85,18.53,4,2,False,True,False
2025-05-01,22.48,27.1,19.44,5,3,True,True,False
2025-05-02,23.21,27.52,20.43,5,4,False,True,False
2025-05-03,23.14,26.3,21.01,5,5,False,False,True
2025-05-04,21.49,24.74,18.56,5,6,False,False,True
2025-05-05,22.25,25.56,19.83,5,0,False,False,False
2025-05-06,22.23,24.69,20.29,5,1,False,False,False
2025-05-07,22.24,24.87,20.33,5,2,False,False,False
2025-05-08,22.72,25.56,20.5,5,3,False,False,False
2025-05-09,22.31,26.0,19.95,5,4,False,False,False
2025-05-10,23.28,26.93,21.16,5,5,False,False,True
2025-05-11,21.89,26.02,18.46,5,6,False,True,True
2025-05-12,23.11,27.43,20.48,5,0,True,True,False
2025-05-13,23.0,26.49,20.99,5,1,True,True,False
2025-05-14,22.03,24.7,18.97,5,2,False,True,False
2025-05-15,23.16,26.51,21.3,5,3,False,False,False
2025-05-16,21.59,23.77,19.2,5,4,False,False,False
2025-05-17,22.37,26.1,19.5,5,5,False,False,True
2025-05-18,22.54,26.43,19.79,5,6,False,False,True
2025-05-19,21.56,25.47,18.84,5,0,False,False,False
2025-05-20,22.94,26.8,20.85,5,1,False,False,False
2025-05-21,21.99,24.69,19.34,5,2,False,False,False
2025-05-22,21.85,25.76,19.1,5,3,False,False,False
2025-05-23,21.61,25.03,19.65,5,4,False,False,False
2025-05-24,22.74,25.33,20.83,5,5,False,False,True
2025-05-25,22.84,25.25,21.46,5,6,False,False,True
2025-05-26,22.1,23.5,19.95,5,0,False,False,False
2025-05-27,21.61,25.68,18.51,5,1,False,False,False
2025-05-28,22.9,26.93,20.29,5,2,False,True,False
2025-05-29,22.84,27.19,19.78,5,3,True,True,False
2025-05-30,22.8,27.63,19.21,5,4,True,True,False
2025-05-31,22.61,26.95,19.77,5,5,False,True,True
2025-06-01,20.74,23.34,18.58,6,6,True,True,True
2025-06-02,22.4,25.89,20.06,6,0,False,True,False
2025-06-03,22.22,26.09,19.11,6,1,False,False,False
2025-06-04,22.61,26.48,20.35,6,2,False,False,False
2025-06-05,22.48,26.38,19.46,6,3,False,True,False
2025-06-06,21.96,25.49,19.35,6,4,True,True,False
2025-06-07,22.11,26.18,19.28,6,5,False,True,True
2025-06-08,22.02,26.33,19.29,6,6,False,True,True
2025-06-09,22.07,25.82,19.98,6,0,True,True,False
2025-06-10,21.34,23.93,19.41,6,1,False,True,False
2025-06-11,21.3,24.36,18.93,6,2,False,False,False
2025-06-12,22.04,26.12,18.87,6,3,False,False,False
2025-06-13,21.69,24.7,19.59,6,4,False,False,False
2025-06-14,21.27,24.85,18.18,6,5,False,False,True
2025-06-15,22.11,25.97,19.2,6,6,False,False,True
2025-06-16,22.67,26.26,20.42,6,0,False,False,False
2025-06-17,21.6,24.16,19.32,6,1,False,False,False
2025-06-18,21.9,25.52,19.74,6,2,False,False,False
2025-06-19,20.66,22.83,18.53,6,3,False,False,False
2025-06-20,21.53,24.94,19.42,6,4,False,False,False
2025-06-21,21.7,25.08,19.59,6,5,False,False,True
2025-06-22,22.13,25.43,19.98,6,6,False,False,True
2025-06-23,21.32,24.66,18.53,6,0,False,False,False
2025-06-24,21.86,26.02,18.75,6,1,False,False,False
2025-06-25,21.79,25.77,18.83,6,2,False,False,False
2025-06-26,21.47,25.55,18.75,6,3,False,True,False
2025-06-27,21.79,24.53,19.9,6,4,True,True,False
2025-06-28,21.23,24.35,19.34,6,5,False,True,True
2025-06-29,20.35,23.08,18.21,6,6,False,False,True
2025-06-30,20.74,24.19,18.23,6,0,False,False,False
2025-07-01,21.73,24.96,19.42,7,1,False,False,False
2025-07-02,22.76,26.88,20.12,7,2,False,False,False
2025-07-03,22.47,26.27,20.09,7,3,False,False,False
2025-07-04,22.33,25.97,20.25,7,4,False,False,False
2025-07-05,22.15,25.96,20.23,7,5,False,False,True
2025-07-06,21.78,24.57,19.93,7,6,False,False,True
2025-07-07,22.04,25.7,19.95,7,0,False,False,False
2025-07-08,22.45,26.84,19.66,7,1,False,False,False
2025-07-09,20.97,25.71,17.41,7,2,False,False,False
2025-07-10,21.26,25.87,18.15,7,3,False,False,False
2025-07-11,21.69,25.87,18.9,7,4,False,False,False
2025-07-12,22.28,26.67,18.37,7,5,False,False,True
2025-07-13,22.03,25.75,19.34,7,6,False,False,True
2025-07-14,21.85,26.12,18.94,7,0,False,False,False
2025-07-15,22.52,26.49,19.97,7,1,False,False,False
2025-07-16,22.3,26.65,19.07,7,2,False,False,False
2025-07-17,22.06,26.69,18.48,7,3,False,False,False
2025-07-18,22.01,26.42,18.8,7,4,False,False,False
2025-07-19,21.69,26.46,17.71,7,5,False,False,True
2025-07-20,21.6,26.02,17.37,7,6,False,False,True
2025-07-21,21.36,26.1,16.81,7,0,False,False,False
2025-07-22,21.82,26.31,18.21,7,1,False,False,False
2025-07-23,22.34,26.67,19.26,7,2,False,False,False
2025-07-24,22.31,26.91,19.64,7,3,False,False,False
2025-07-25,22.08,26.21,18.96,7,4,False,False,False
2025-07-26,23.14,27.37,20.28,7,5,False,False,True
2025-07-27,22.6,27.05,20.03,7,6,False,False,True
2025-07-28,22.2,25.91,20.2,7,0,False,False,False
2025-07-29,21.72,24.65,20.1,7,1,False,False,False
2025-07-30,22.04,25.47,19.99,7,2,False,False,False
2025-07-31,22.79,27.04,20.54,7,3,False,False,False
2025-08-01,22.45,27.31,18.1,8,4,False,False,False
2025-08-02,22.83,27.45,19.22,8,5,False,False,True
2025-08-03,22.82,27.53,19.86,8,6,False,False,True
2025-08-04,22.98,27.85,20.29,8,0,False,False,False
2025-08-05,22.93,27.26,20.15,8,1,False,False,False
2025-08-06,23.25,28.01,20.2,8,2,False,False,False
2025-08-07,23.59,28.02,21.04,8,3,False,False,False
2025-08-08,23.22,27.59,20.98,8,4,False,False,False
